	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
0	gescheijden	, Twdapen van Eelff , s'landts hollandia ende de Galias den 12en November past in Compe van Battania- Battania [ gescheijden ] , ende den 15en . do door de strate Sunda geraeckt sijn hier Godt loff den 17en . ende 21e		12-35	['12-35']	No Span	yes	Leaving			
3	d'aencompete	840 . pica rouwe Chineesche sijde , ende 332 xxi0 xx 0 . copter . e. e e Op [ d'aencompete ] gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch een		12-91	['12-91']	No Span	yes	Transportation			
7	beloopen	bouen gemelte Vloote nae te seijnden , om deselue noch t'sij dan aende Cabo ofte St. Sdelena te mogen [ beloopen ] . & Waerop aen d‛een sijde Ingesien sijnde , hoe voor t'verloop vanden gelimiteerden tijdt op d'affvaerdinge der Retour Schepen		12-151	['12-151']	No Span	yes	Arriving			
9	seijl reedt te crijgen	Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte Voijagie [ seijl reedt te crijgen ] ; daer beneffens dat Jegenwoordich geen andere RetourSchepen Schepen bijder handt hebben als Vianen ende t'wapen van	['12-199', '12-200', '12-201', '12-202']	12-199	['12-199', '12-200', '12-201', '12-202']	12-202	yes	Repairing			
13	seer schaers	t'wapens suffirante tot t ' Voijagie nae tvaderblandt vaderblandt seer getwijffelt werdt . Item dat Jegenwoordich ouer Gants Jndia [ seer schaers ] van Varend ' volck voorsien , sijn . Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het	['12-244', '12-245']	12-244	['12-244', '12-245']	12-245	no		This does not describe an event listed in the ontology		
15	attenueren	. Ende sal men d'ordinarij handel plaetsen naer behooren waernemen , het sober getal vandien niet meer dient te [ attenueren ] ; Noch principal ende bouen al , dat men vreest v. Ed : ordre van ter bequamer tijt op onse		12-272	['12-272']	No Span	no		This does not describe an event listed in the ontology		
16	om te loopen	dat men vreest v. Ed : ordre van ter bequamer tijt op onse Landen comende , achter Engelandt , [ om te loopen ] , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op de thuijs-reijse de meester maeckt ,	['12-299', '12-300', '12-301']	12-299	['12-299', '12-300', '12-301']	12-301	yes	Voyage			
20	de thuijs-reijse	, achter Engelandt , om te loopen , door de moetwil ende rebellije van't Scheepsvolck ( welck gemeenl op [ de thuijs-reijse ] de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de cours recht door t'Canael nae	['12-314', '12-315']	12-314	['12-314', '12-315']	12-315	yes	Voyage			
22	achter om te loopen	maer de cours recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om [ achter om te loopen ] . In voegen , dat ons om voorverhaelde consideratien eenichsints beswaert woirden de syde dus laet met	['12-347', '12-348', '12-349', '12-350']	12-347	['12-347', '12-348', '12-349', '12-350']	12-350	yes	Voyage			
34	seijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ seijnder ] seijnder De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te		17-38.1	['17-38.1']	No Span	no		This does not describe an event listed in the ontology		
