	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
4	aencompete	geladen met 840 . pica rouwe Chineesche sijde , ende 332 xxi0 . copter . e. e e Op [ aencompete ] aencompete gemelter Schepen hebben , dadelijck met den Raedt ouerleijdt , off niet oorbaer ende raedtsaem soude wesen , noch		12-91.1	['12-91.1']	No Span	yes	Arriving			
9	Voijagie	V Ed : aduisen met Bollandia Jongst van daer becomen niet wel doenlijck soude sijn een Schip tot gemelte [ Voijagie ] seijl reedt te crijgen ; daer beneffens dat Jegenwoordich geen andere RetourSchepen bijder handt hebben als Vianen ende t'wapen van		12-198	['12-198']	No Span	yes	Voyage			
12	cours	welck gemeenl op de thuijs-reijse de meester maeckt , ende d'Ouericheijt Hetten voorschrijft niet behoorlijck achtervolcht , maer de [ cours ] recht door t'Canael nae Nederlandt gestelt mocht werden , al schoon het tijts genouch eynam om achter om te loopen		12-330	['12-330']	No Span	yes	Voyage	Other (write in comments)		I wouldn't regard 'course' as an event. 
14	fourneren	animeren sal omme de requisite capitalen , tot Vigorenter vervolch vandien aduantagieusen handel int ' aenstaende des t'onbecrompener te [ fourneren ] , hebben euenwel goedt gevonden , t'Schip Vranen opt ' spoedichste met 384½. 384½ Nicol sijde 1 331 ... r.		12-428	['12-428']	No Span	yes	Giving			
19	goeden coop	W : Curt Sumatsa . o 1 e de CCormandel : te staen , ten aensien de cleeden seer [ goeden coop ] daer tegen verhandelt sijn soo dat voor dees tijt in dat quartier gants weijnichte doen is , ende niet	['17-9', '17-10']	17-9	['17-9', '17-10']	17-10	yes	Decreasing			I wouldn't regard 'cheap' as being an event
22	teseijnder	tijt in dat quartier gants weijnichte doen is , ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder [ teseijnder ] De Rijs was daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande		17-38	['17-38']	No Span	yes	BeingAtAPlace			
23	dier	, ende niet noodich wesen sal , t'naeste Jaer derrewaerts weder teseijnder De Rijs was daer uijt der maten [ dier ] ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande decieitiersn comen sal , daer ons		17-46	['17-46']	No Span	yes	Increasing			I take this to mean expensive. 
29	hebben	gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch [ hebben ] geldt noch cleeden om derrewaerts ie mogen seijnden . e. e En D.o S.r Is sier van Masilipats.n ende Paliacaite		18-81	['18-81']	No Span	yes				Wouldn't we need an event 'being in possession' ?
33	deffectueusheijt	Ed : mede in twee Jaeren geen retour van daer becomen sullen ende dat vermidts V Ed : eijgen [ deffectueusheijt ] int derrewaerts beschicken van de Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen		20-121	['20-121']	No Span	yes	Mismanagement			I take the word to mean inefficacy. Don't know whether mismanagement would be an exact fit. 
34	vertrock	Jaerlijcx geeijschte capitalen ... d'E Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Abigael van daer [ vertrock ] , aldaer noch niet verlcheinen , Ende is apparent dat geduerende t'noorder Mouson , daer oock niet sullen connen comen		21-16	['21-16']	No Span	yes	Leaving			
35	verlcheinen	Leeuwwinne ende Kemphaen waren op 2en Novemb . pasro doen d'Engelsche Abigael van daer vertrock , aldaer noch niet [ verlcheinen ] , Ende is apparent dat geduerende t'noorder Mouson , daer oock niet sullen connen comen — . De Paliacatsche sorteringe		21-21	['21-21']	No Span	yes	Arriving			
36	comen	, aldaer noch niet verlcheinen , Ende is apparent dat geduerende t'noorder Mouson , daer oock niet sullen connen [ comen ] — . De Paliacatsche sorteringe welck al geschilderde doecken sijn ; sal niet eerder dan in Maij a.o . 1628		21-36	['21-36']	No Span	yes	Arriving			
42	dier	. eeeee Isen Calliacatte geeft het Goudt van Guinea 10½ 8r . cento advance ende was t'Cattoen daer soo [ dier ] , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere Monovolien ende Qquardt tractement t'ontwaerts		24-18	['24-18']	No Span	yes	Increasing			I take dier to mean expensive here. 
45	dier	e 1 „ 90 t ked ee . ve een Diamanten sijn daer noch wel te becomen , maer [ dier ] eeen tijt van masilupats . te lichten ende eenige Scheepen in de mlaenden Februarij ende Meert daer voor te houden		28-10	['28-10']	No Span					
46	betalen	Negotie saten , belast sijnde met 200 O gl . a deposito gelicht , waer voor grooten Interest moeten [ betalen ] Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs gedaelt , conden geene vercoopen		32-44	['32-44']	No Span	yes				Not entirely sure which event type this would fall under. 
